               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.068351,            0.035324,            0.076832,             0.32655,             0.16572,            0.067163,            0.034447,            0.031021,            0.016612,              0.0529,             0.07012,             0.00332,             0.00332
                   1,            0.045318,            0.025224,            0.072309,              0.3059,             0.29135,            0.088611,            0.048994,            0.030776,            0.012788,            0.051518,            0.040098,           0.0066314,           0.0066314
                   2,            0.042826,            0.022665,            0.071065,             0.15454,             0.48603,             0.10641,            0.063334,            0.024837,            0.011868,            0.050905,            0.010054,           0.0099208,           0.0099208
                   3,            0.037905,            0.021631,             0.07019,             0.33586,             0.33395,             0.15666,            0.084733,            0.026041,            0.012684,            0.049989,            0.009901,            0.009901,            0.009901
                   4,             0.03453,            0.020681,            0.068391,              0.3163,             0.32218,              0.1803,             0.10488,            0.022528,            0.011739,            0.047124,            0.009901,            0.009901,            0.009901
                   5,            0.032978,            0.021208,            0.064719,             0.51105,             0.26759,             0.27343,             0.17425,            0.021313,            0.012211,            0.042774,            0.009868,            0.009868,            0.009868
                   6,            0.032852,            0.020402,             0.06025,             0.51889,             0.38522,             0.33874,             0.24675,            0.017038,            0.011193,            0.037573,            0.009835,            0.009835,            0.009835
                   7,             0.03152,            0.019887,            0.055574,             0.64134,             0.44714,             0.47603,             0.30934,            0.019929,            0.011205,            0.034011,            0.009802,            0.009802,            0.009802
                   8,            0.030854,            0.019297,            0.051022,             0.44488,             0.61528,             0.53146,             0.36647,            0.020164,            0.011095,            0.029516,            0.009769,            0.009769,            0.009769
                   9,            0.032117,            0.019729,            0.046324,             0.61028,             0.61462,             0.66002,             0.45074,            0.019429,            0.011499,            0.025696,            0.009736,            0.009736,            0.009736
                  10,             0.03079,              0.0197,            0.041152,             0.71921,             0.69717,             0.74888,             0.53867,            0.016968,            0.010893,            0.023055,            0.009703,            0.009703,            0.009703
                  11,            0.031116,             0.01985,            0.036677,             0.79293,             0.75962,             0.84457,             0.60169,            0.016632,            0.011276,            0.018076,             0.00967,             0.00967,             0.00967
                  12,            0.030868,             0.01975,            0.032982,             0.75831,             0.88778,             0.89894,             0.63498,            0.018132,            0.011311,            0.014919,            0.009637,            0.009637,            0.009637
                  13,            0.031248,            0.019356,             0.02935,             0.82981,              0.8475,             0.89846,             0.67957,            0.017105,            0.010729,            0.015438,            0.009604,            0.009604,            0.009604
                  14,            0.031503,            0.019678,             0.02611,             0.83445,             0.91097,             0.93901,             0.65665,            0.018004,            0.011972,            0.010547,            0.009571,            0.009571,            0.009571
                  15,            0.031019,            0.019591,            0.024718,             0.87441,             0.89295,             0.93862,              0.6723,            0.017382,            0.011241,           0.0097362,            0.009538,            0.009538,            0.009538
                  16,            0.031029,            0.019906,            0.023776,             0.90085,              0.8717,             0.93821,              0.6686,            0.017828,            0.011112,            0.010725,            0.009505,            0.009505,            0.009505
                  17,            0.030587,            0.019673,            0.021067,             0.94384,             0.87838,             0.95019,             0.68953,            0.017952,            0.011554,           0.0088393,            0.009472,            0.009472,            0.009472
                  18,            0.030239,            0.019288,            0.021286,             0.92055,             0.91488,             0.95827,             0.69116,             0.01792,            0.011025,            0.007752,            0.009439,            0.009439,            0.009439
